commenter_co,commenter_name,commenter_page,commenter_star,commenter_zan
,,,,
,sam,https://www.douban.com/people/samsyu/,2017-09-26 16:29:10,
,扬兮婉兮,https://www.douban.com/people/148049289/,2017-07-19 08:20:47,
,小杨树,https://www.douban.com/people/yjhxiaoyangshu/,2017-07-11 10:36:48,
,影王,https://www.douban.com/people/155371155/,2017-09-18 08:06:36,
,林檎的苹果园,https://www.douban.com/people/mickyququ/,2017-09-18 12:00:30,
,Rick,https://www.douban.com/people/107012290/,2017-10-01 17:24:01,
,mitou,https://www.douban.com/people/57837125/,2017-09-19 21:44:54,
,,,,
,pillbug,https://www.douban.com/people/pillbug/,还行,
,潇雨,https://www.douban.com/people/54998502/,还行,
,恶魔的步调,https://www.douban.com/people/Len./,还行,
,释凡,https://www.douban.com/people/seafans/,还行,
,红藕香残玉簟秋,https://www.douban.com/people/127437486/,较差,
,Carf,https://www.douban.com/people/4340710/,推荐,
,Merov Mugatu!,https://www.douban.com/people/merovingianeven/,很差,
,痞影人科莱昂,https://www.douban.com/people/pirealwei/,较差,
,vivi,https://www.douban.com/people/vivifyvivi/,还行,
,不懂相负,https://www.douban.com/people/77161027/,还行,
,方枪枪,https://www.douban.com/people/yalindongdong/,较差,
,glim,https://www.douban.com/people/glim/,较差,
,贝塔先生,https://www.douban.com/people/yahooor/,还行,
,深夜声咽,https://www.douban.com/people/sfroompp/,推荐,
,樱夏枫雪,https://www.douban.com/people/54131075/,还行,
,何婊砸,https://www.douban.com/people/RockerHo/,推荐,
,激动如胖大海,https://www.douban.com/people/andre_yxy/,还行,
,獨孤島主,https://www.douban.com/people/jywpl/,还行,
,搬砖侠,https://www.douban.com/people/zhangfan187/,较差,
,huyouyou,https://www.douban.com/people/huyouyou/,推荐,
,,,,
,,,,
,shiki,https://www.douban.com/people/53179231/,推荐,
,young,https://www.douban.com/people/135788675/,推荐,
,艺仔没公德,https://www.douban.com/people/yancm/,力荐,
,大聪看电影,https://www.douban.com/people/1402913/,推荐,
,同志亦凡人中文站,https://www.douban.com/people/3540441/,推荐,
,韩国男友,https://www.douban.com/people/Baronera/,较差,
,瓦力,https://www.douban.com/people/cyrus_wong/,推荐,
,AdaWang,https://www.douban.com/people/adakenndy/,较差,
,荔枝超人,https://www.douban.com/people/richer725/,还行,
,Yellow_OTL,https://www.douban.com/people/54880316/,力荐,
,好养活,https://www.douban.com/people/47941742/,较差,
,桃桃淘电影,https://www.douban.com/people/qijiuzhiyue/,推荐,
,银色bullet,https://www.douban.com/people/yinsebullet/,推荐,
,向往蒙城,https://www.douban.com/people/115706846/,推荐,
,王大根,https://www.douban.com/people/diewithme/,推荐,
,Carf,https://www.douban.com/people/4340710/,还行,
,小土,https://www.douban.com/people/47182866/,力荐,
,小地瓜想养一只,https://www.douban.com/people/75609687/,较差,
,Amberose,https://www.douban.com/people/amberose/,力荐,
,饮歌,https://www.douban.com/people/35790692/,推荐,
,,,,
,,,,
,我要去荷兰,https://www.douban.com/people/Uvo/,推荐,
,荔枝超人,https://www.douban.com/people/richer725/,推荐,
,RAY,https://www.douban.com/people/2485936/,很差,
,雷力疯行,https://www.douban.com/people/51291242/,力荐,
,桃桃淘电影,https://www.douban.com/people/qijiuzhiyue/,很差,
,向阳花,https://www.douban.com/people/sunflower0204/,还行,
,亵渎电影,https://www.douban.com/people/zhangzongqian/,很差,
,恒w恒,https://www.douban.com/people/3936657/,很差,
,山人阿苍苍,https://www.douban.com/people/Kiddieyi/,还行,
,[已注销],https://www.douban.com/people/yangtuo2/,很差,
,大奇特(Grinch),https://www.douban.com/people/grinch/,2012-01-11 13:29:33,
,本南丹蒂,https://www.douban.com/people/unicornwoo/,很差,
,妖灵妖,https://www.douban.com/people/film101/,很差,
,塔卡纳马塔塔,https://www.douban.com/people/patient334/,推荐,
,江浅,https://www.douban.com/people/4405895/,较差,
,T.V.Zoe ி,https://www.douban.com/people/T.V.Zoe/,还行,
,麦克阿瑟,https://www.douban.com/people/m37157/,还行,
,知心姐姐卢先生,https://www.douban.com/people/woodyallen_1935/,2011-12-15 19:27:59,
,邪小人,https://www.douban.com/people/zengyu/,还行,
,瓦达西瓦又又又桑只爱这巧克力,https://www.douban.com/people/yoyoyoyoyoyoyo/,很差,
,,,,
,,,,
,慕容七,https://www.douban.com/people/19296065/,2017-09-21 01:51:45,
,阿噗不高兴,https://www.douban.com/people/146256272/,较差,
,Jane,https://www.douban.com/people/10337683/,力荐,
,姹紫嫣红开遍。,https://www.douban.com/people/44551171/,推荐,
,喵小琰,https://www.douban.com/people/49434155/,2017-09-18 14:54:47,
,气质哥,https://www.douban.com/people/154596149/,很差,
,大黑骡子,https://www.douban.com/people/daheiluozi/,2017-09-23 23:49:50,
,mumudancing,https://www.douban.com/people/mumudancing/,还行,
,逆风飞扬,https://www.douban.com/people/slowlycontinue/,推荐,
,jasper的迷姐,https://www.douban.com/people/159306302/,很差,
,冬至,https://www.douban.com/people/Innerplant/,2017-09-29 02:02:40,
,文木,https://www.douban.com/people/skylk2000/,还行,
,御剑乘风,https://www.douban.com/people/50560714/,推荐,
,红藕香残玉簟秋,https://www.douban.com/people/127437486/,还行,
,长歌行,https://www.douban.com/people/138633457/,还行,
,包包,https://www.douban.com/people/shuiqi/,推荐,
,李阿斗,https://www.douban.com/people/gailsylee/,推荐,
,张菩菩,https://www.douban.com/people/2044324/,推荐,
,julie妮妮,https://www.douban.com/people/37824043/,还行,
,羊男,https://www.douban.com/people/suzichong/,还行,
,Katherine,https://www.douban.com/people/2705746/,还行,
,,,,
,,,,
,Daisy cat,https://www.douban.com/people/Dasiycat/,还行,
,艺仔没公德,https://www.douban.com/people/yancm/,推荐,
,幻覺大師,https://www.douban.com/people/edward1988/,还行,
,方枪枪,https://www.douban.com/people/yalindongdong/,还行,
,飞鸟凉,https://www.douban.com/people/maybe-stella/,推荐,
,Carf,https://www.douban.com/people/4340710/,推荐,
,王大根,https://www.douban.com/people/diewithme/,推荐,
,非正常儿童,https://www.douban.com/people/3539800/,推荐,
,张天翼,https://www.douban.com/people/wisely1229/,推荐,
,ZMike,https://www.douban.com/people/49145944/,推荐,
,同志亦凡人中文站,https://www.douban.com/people/3540441/,还行,
,创造者1412,https://www.douban.com/people/56328904/,很差,
,海豚小北,https://www.douban.com/people/71918561/,很差,
,木卫二,https://www.douban.com/people/MovieL/,还行,
,张小北,https://www.douban.com/people/xzfd/,推荐,
,痞影人科莱昂,https://www.douban.com/people/pirealwei/,较差,
,彼岸盆花,https://www.douban.com/people/mathildaren/,推荐,
,帕拉多克斯,https://www.douban.com/people/58059498/,较差,
,仲山奥理,https://www.douban.com/people/zhongshanaoli/,较差,
,面条面包面饼,https://www.douban.com/people/50782420/,还行,
,亵渎电影,https://www.douban.com/people/zhangzongqian/,还行,
,桃桃淘电影,https://www.douban.com/people/qijiuzhiyue/,很差,
,淡夏轨迹,https://www.douban.com/people/42532242/,很差,
,rafeal,https://www.douban.com/people/84666095/,很差,
,大世界之王,https://www.douban.com/people/140382106/,很差,
,爱你，小姐姐,https://www.douban.com/people/153122149/,很差,
,😻猫球球,https://www.douban.com/people/cocomademoisell/,很差,
,猫小样儿,https://www.douban.com/people/huangjx1030/,推荐,
,临冬城的狮子,https://www.douban.com/people/131719688/,还行,
,,,,
,,,,
,韦小宝me,https://www.douban.com/people/27521612/,推荐,
,法兰西胶片,https://www.douban.com/people/flxjp/,2017-09-24 21:03:41,
,一粒米,https://www.douban.com/people/guoyeh/,很差,
,Lovemoo,https://www.douban.com/people/144804999/,很差,
,权鸡鸡_,https://www.douban.com/people/leonislyu/,很差,
,飞翔的亨德森,https://www.douban.com/people/120229461/,很差,
,莹小宝,https://www.douban.com/people/benbenmuxi/,较差,
,indicent time,https://www.douban.com/people/51061132/,很差,
,蓝色耳朵,https://www.douban.com/people/55557517/,很差,
,亦是行人-,https://www.douban.com/people/57665037/,推荐,
,,,,
,,,,
,so what,https://www.douban.com/people/134476648/,还行,
,kazuma,https://www.douban.com/people/51715999/,很差,
,,,,
,,,,
,,,,
,,,,
,影毒肥佬,https://www.douban.com/people/FK621/,推荐,
,文一,https://www.douban.com/people/mkci117/,2016-11-26 00:57:38,
,獨孤島主,https://www.douban.com/people/jywpl/,还行,
,卡斯帕爾的浮雲,https://www.douban.com/people/casablanca0912/,推荐,
,萬和生,https://www.douban.com/people/4378595/,力荐,
,王写写,https://www.douban.com/people/dreamending/,较差,
,longer,https://www.douban.com/people/luvis1499/,推荐,
,红藕香残玉簟秋,https://www.douban.com/people/127437486/,推荐,
,CobraCB,https://www.douban.com/people/CobraCB/,推荐,
,曼石,https://www.douban.com/people/springhall/,2017-07-01 06:06:05,
,猴子放屁,https://www.douban.com/people/83977886/,2016-12-13 16:49:41,
,九爪小蟹,https://www.douban.com/people/pqqy/,力荐,
,小舒淇,https://www.douban.com/people/128661098/,力荐,
,胖杏,https://www.douban.com/people/pangxing/,力荐,
,傻不啦叽,https://www.douban.com/people/79247785/,力荐,
,La Madeleine,https://www.douban.com/people/35070684/,推荐,
,纯牛奶,https://www.douban.com/people/156683104/,力荐,
,L,https://www.douban.com/people/42963553/,推荐,
,沉 榻,https://www.douban.com/people/138686742/,推荐,
,dig45,https://www.douban.com/people/35446656/,很差,
,,,,
,,,,
,破茧,https://www.douban.com/people/pojian1987/,力荐,
,WillRious,https://www.douban.com/people/64515288/,力荐,
,道臣岚,https://www.douban.com/people/51004773/,力荐,
,乌鸦火堂,https://www.douban.com/people/dreamfox/,推荐,
,谢谢你们的鱼,https://www.douban.com/people/reave/,推荐,
,痞影人科莱昂,https://www.douban.com/people/pirealwei/,较差,
,桃桃淘电影,https://www.douban.com/people/qijiuzhiyue/,推荐,
,m89,https://www.douban.com/people/duzhouchi/,推荐,
,二月鸟语,https://www.douban.com/people/p2165/,较差,
,智商二百五,https://www.douban.com/people/53547561/,推荐,
,释凡,https://www.douban.com/people/seafans/,较差,
,鲸鱼君,https://www.douban.com/people/4370686/,推荐,
,Citrus,https://www.douban.com/people/63898543/,还行,
,婴儿葛葛,https://www.douban.com/people/romanbaby/,还行,
,静待花开,https://www.douban.com/people/2123968/,力荐,
,张咏轩Wayne,https://www.douban.com/people/55617091/,推荐,
,啊啊反对,https://www.douban.com/people/82660297/,力荐,
,Ear.Forest,https://www.douban.com/people/iear/,推荐,
,苏筱兀,https://www.douban.com/people/lesc/,推荐,
,baobaodu,https://www.douban.com/people/baobaodu/,推荐,
,,,,
,,,,
,Laplace Demon,https://www.douban.com/people/3310354/,推荐,
,凌睿,https://www.douban.com/people/lingrui1995/,力荐,
,米粒,https://www.douban.com/people/conanemily/,推荐,
,饮歌,https://www.douban.com/people/35790692/,推荐,
,同志亦凡人中文站,https://www.douban.com/people/3540441/,推荐,
,桃桃淘电影,https://www.douban.com/people/qijiuzhiyue/,推荐,
,松果果,https://www.douban.com/people/yonita_yang/,推荐,
,rice-burger,https://www.douban.com/people/ricy-rice/,还行,
,17,https://www.douban.com/people/lindadarling/,推荐,
,萨库拉,https://www.douban.com/people/iisakura/,还行,
,王大根,https://www.douban.com/people/diewithme/,推荐,
,毒舌列文,https://www.douban.com/people/2795141/,很差,
,Sylvia,https://www.douban.com/people/51079426/,还行,
,李阿斗,https://www.douban.com/people/gailsylee/,力荐,
,了了,https://www.douban.com/people/32023588/,很差,
,30天,https://www.douban.com/people/37217307/,很差,
,旺财博士,https://www.douban.com/people/2039887/,还行,
,瓦力,https://www.douban.com/people/cyrus_wong/,还行,
,Lycidas,https://www.douban.com/people/raquelycidas/,还行,
,chuchu,https://www.douban.com/people/86728823/,还行,
,,,,
,,,,
,McDull,https://www.douban.com/people/ronny/,很差,
,前海一支剑,https://www.douban.com/people/frontsea/,推荐,
,芦哲峰,https://www.douban.com/people/luhua/,较差,
,慢先森,https://www.douban.com/people/mr.slow/,力荐,
,闲人,https://www.douban.com/people/5054748/,推荐,
,大奇特(Grinch),https://www.douban.com/people/grinch/,较差,
,芥末蘸酱,https://www.douban.com/people/FrankWasabi/,还行,
,shininglove,https://www.douban.com/people/2849243/,推荐,
,木卫二,https://www.douban.com/people/MovieL/,还行,
,直胖,https://www.douban.com/people/chauyik/,推荐,
,大瘦瘦,https://www.douban.com/people/shoushouan/,较差,
,feeling,https://www.douban.com/people/1494376/,推荐,
,谢谢你们的鱼,https://www.douban.com/people/reave/,较差,
,无语清秋,https://www.douban.com/people/leo1983/,很差,
,时间之葬,https://www.douban.com/people/ydyie/,还行,
,嘟嘟熊之父,https://www.douban.com/people/duduxiongzhifu/,还行,
,张小北,https://www.douban.com/people/xzfd/,推荐,
,存在感个鸟,https://www.douban.com/people/33282308/,力荐,
,张小强,https://www.douban.com/people/yaozi0426/,推荐,
,桃桃淘电影,https://www.douban.com/people/qijiuzhiyue/,还行,
,,,,
,,,,
,韩棒子,https://www.douban.com/people/159457903/,很差,
,花减减,https://www.douban.com/people/y19940504/,很差,
,__.,https://www.douban.com/people/4040621/,很差,
,bbdou,https://www.douban.com/people/83881122/,很差,
,少年宫宫主,https://www.douban.com/people/xhermes/,很差,
,你大爷,https://www.douban.com/people/162559368/,很差,
,朱莉本茨,https://www.douban.com/people/145691655/,很差,
,思念一生,https://www.douban.com/people/139015526/,2017-09-13 19:56:19,
,夜来蓝雨,https://www.douban.com/people/157425806/,很差,
,迷,https://www.douban.com/people/155894257/,较差,
,南枝,https://www.douban.com/people/151236827/,很差,
,萝卜枪,https://www.douban.com/people/71179371/,很差,
,💬,https://www.douban.com/people/150727058/,很差,
,光影拾趣,https://www.douban.com/people/152503942/,力荐,
,hanmer,https://www.douban.com/people/hanmer/,很差,
,✘Maρl3 ,https://www.douban.com/people/165504544/,很差,
,欣儿家的楠楠,https://www.douban.com/people/159056817/,很差,
,$凉辰梦谨シ空人,https://www.douban.com/people/167527593/,力荐,
,老胡,https://www.douban.com/people/160915092/,很差,
,moon1800,https://www.douban.com/people/167341307/,很差,
,,,,
,,,,
,cupyu,https://www.douban.com/people/61813472/,还行,
,iriselite,https://www.douban.com/people/iriselite/,还行,
,红藕香残玉簟秋,https://www.douban.com/people/127437486/,还行,
,韩棒子,https://www.douban.com/people/159457903/,较差,
,别看 滚,https://www.douban.com/people/ohohzhizhi/,推荐,
,剑气凌厉的江南,https://www.douban.com/people/moonflora/,推荐,
,Lipsky,https://www.douban.com/people/135908849/,推荐,
,Constantine,https://www.douban.com/people/thomasneeson/,还行,
,xxm,https://www.douban.com/people/130296517/,很差,
,冷吧,https://www.douban.com/people/96388706/,还行,
,长歌行,https://www.douban.com/people/138633457/,较差,
,anubisgaze,https://www.douban.com/people/2161666/,推荐,
,隰则有泮,https://www.douban.com/people/52726325/,2017-09-26 15:58:57,
,番薯派,https://www.douban.com/people/1076979/,推荐,
,灰灰,https://www.douban.com/people/127591096/,推荐,
,Midoriko,https://www.douban.com/people/41950986/,2017-09-14 23:14:08,
,啊黄,https://www.douban.com/people/35286598/,推荐,
,风露染衣,https://www.douban.com/people/156778058/,还行,
,阳光灿烂,https://www.douban.com/people/kakadu/,还行,
,大老二,https://www.douban.com/people/yours1988/,力荐,
,,,,
,,,,
,傲寒,https://www.douban.com/people/138954658/,2017-10-01 10:42:16,
,红藕香残玉簟秋,https://www.douban.com/people/127437486/,2017-10-03 15:57:31,
,        柒。,https://www.douban.com/people/154141451/,2017-10-03 18:44:22,
,基本粒子,https://www.douban.com/people/162672445/,2017-10-02 12:03:24,
,何小二,https://www.douban.com/people/159186254/,2017-09-30 09:51:08,
,闲来扯淡,https://www.douban.com/people/160968490/,2017-10-01 13:59:48,
,厄喏,https://www.douban.com/people/164733583/,2017-09-30 22:33:03,
,D.wade,https://www.douban.com/people/156912551/,2017-09-29 20:14:33,
,LUQK,https://www.douban.com/people/159948345/,2017-10-02 22:19:38,
,开心果,https://www.douban.com/people/167557414/,2017-10-03 15:05:50,
,摆姿势,https://www.douban.com/people/88088287/,2017-10-03 12:30:30,
,Story,https://www.douban.com/people/167472551/,2017-10-01 17:19:23,
,TaoHuang0924,https://www.douban.com/people/148936481/,2017-10-01 09:28:36,
,Detroit.,https://www.douban.com/people/165496586/,2017-10-01 08:26:47,
,小明,https://www.douban.com/people/138215966/,2017-09-30 13:41:13,
,,,,
,,,,
,,,,
,11,https://www.douban.com/people/run11run/,推荐,
,听影客,https://www.douban.com/people/61602134/,力荐,
,pretty clumsy ,https://www.douban.com/people/62169883/,推荐,
,小乔,https://www.douban.com/people/qiaoyf/,推荐,
,南赫,https://www.douban.com/people/54150368/,力荐,
,翻滚吧！蛋堡,https://www.douban.com/people/7542909/,2017-08-01 22:15:36,
,万壑松,https://www.douban.com/people/2789355/,还行,
,有枝,https://www.douban.com/people/ranandrose/,力荐,
,志大无胸,https://www.douban.com/people/2529003/,力荐,
,what'swilliam,https://www.douban.com/people/52286623/,推荐,
,W3IQ7≯,https://www.douban.com/people/W3IQ7/,2017-08-01 22:40:03,
,一只麦麦,https://www.douban.com/people/hexiaoqin/,推荐,
,m89,https://www.douban.com/people/duzhouchi/,2017-08-05 16:50:15,
,桃桃淘电影,https://www.douban.com/people/qijiuzhiyue/,推荐,
,妙可中国,https://www.douban.com/people/53869175/,推荐,
